,price,volume,cap,circ_supply,act_supply,big_wallets,add_count,deposits,withdrawls,TPS,labels
1609,6410.0,519000000.0,110000000000.0,17225229.2,15424775.32,17008996.83,21987763.0,53000000.0,64160000.0,1.86,6410.31
1610,6438.75,747000000.0,111000000000.0,17223416.54,15423413.15,17005594.26,21972610.0,73720000.0,73080000.0,2.2,6410.0
1611,6476.88,905000000.0,112000000000.0,17221416.37,15422091.95,17006878.34,21947057.0,176000000.0,107000000.0,2.73,6438.75
1612,6351.17,840000000.0,109000000000.0,17219516.07,15420204.91,16999902.63,21929783.0,124000000.0,124000000.0,2.68,6476.88
1613,6393.05,1430000000.0,110000000000.0,17217540.84,15418106.12,16997882.61,21909073.0,193000000.0,250000000.0,2.85,6351.17
1614,6044.69,1210000000.0,104000000000.0,17215528.08,15416823.81,16994043.02,21885743.0,243000000.0,242000000.0,2.92,6393.05
1615,6342.06,937000000.0,109000000000.0,17213827.65,15414972.89,16994977.64,21856478.0,185000000.0,170000000.0,2.52,6044.69
1616,6307.46,707000000.0,109000000000.0,17211952.39,15413467.31,16994306.43,21856628.0,88540000.0,88040000.0,1.95,6342.06
1617,6203.77,933000000.0,107000000000.0,17210014.76,15410715.47,16992257.36,21846301.0,128000000.0,126000000.0,2.22,6307.46
1618,6337.87,1130000000.0,109000000000.0,17207889.57,15409557.85,16986107.72,21849399.0,154000000.0,182000000.0,2.6,6203.77
1619,6405.57,1020000000.0,110000000000.0,17205689.38,15408113.82,16992536.88,21849872.0,188000000.0,199000000.0,2.59,6337.87
1620,6417.31,1370000000.0,110000000000.0,17203826.48,15406433.37,16985191.34,21859176.0,233000000.0,197000000.0,2.65,6405.57
1621,6941.15,967000000.0,119000000000.0,17201863.62,15404123.51,16993900.03,21839922.0,165000000.0,139000000.0,2.74,6417.31
1622,6984.08,665000000.0,120000000000.0,17199975.78,15401864.21,16995754.51,21850105.0,120000000.0,155000000.0,2.54,6941.15
